Tool;Scenario;Model;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Reference;new_samples;2;0;6;Update;Memory;79429632
Reference;new_samples;2;0;7;Update;Time;419500
Reference;new_samples;2;0;7;Update;Memory;79822848
Reference;new_samples;2;0;8;Update;Time;314700
Reference;new_samples;2;0;8;Update;Memory;80084992
Reference;new_samples;4;0;0;Initialization;Time;375635000
Reference;new_samples;4;0;0;Initialization;Memory;76546048
Reference;new_samples;4;0;0;Load;Time;51591100
Reference;new_samples;4;0;0;Load;Memory;77070336
Reference;new_samples;4;0;0;Initial;Time;69586500
Reference;new_samples;4;0;0;Initial;Memory;77987840
Reference;new_samples;4;0;1;Update;Time;6856700
Reference;new_samples;4;0;1;Update;Memory;78905344
Reference;new_samples;4;0;2;Update;Time;1063100
Reference;new_samples;4;0;2;Update;Memory;79298560
Reference;new_samples;4;0;3;Update;Time;864400
Reference;new_samples;4;0;3;Update;Memory;79560704
Reference;new_samples;4;0;4;Update;Time;362800
Reference;new_samples;4;0;4;Update;Memory;79822848
Reference;new_samples;4;0;5;Update;Time;314200
Reference;new_samples;4;0;5;Update;Memory;80216064
Reference;new_samples;4;0;6;Update;Time;354700
Reference;new_samples;4;0;6;Update;Memory;80609280
Reference;new_samples;4;0;7;Update;Time;2611700
Reference;new_samples;4;0;7;Update;Memory;81002496
Reference;new_samples;4;0;8;Update;Time;267300
Reference;new_samples;4;0;8;Update;Memory;81395712
Reference;new_samples;8;0;0;Initialization;Time;408770200
Reference;new_samples;8;0;0;Initialization;Memory;76152832
Reference;new_samples;8;0;0;Load;Time;49924500
Reference;new_samples;8;0;0;Load;Memory;76808192
Reference;new_samples;8;0;0;Initial;Time;66685600
Reference;new_samples;8;0;0;Initial;Memory;77987840
Reference;new_samples;8;0;1;Update;Time;11448100
Reference;new_samples;8;0;1;Update;Memory;79167488
Reference;new_samples;8;0;2;Update;Time;1060600
Reference;new_samples;8;0;2;Update;Memory;79560704
Reference;new_samples;8;0;3;Update;Time;839700
Reference;new_samples;8;0;3;Update;Memory;80084992
Reference;new_samples;8;0;4;Update;Time;383900
Reference;new_samples;8;0;4;Update;Memory;80609280
Reference;new_samples;8;0;5;Update;Time;316500
Reference;new_samples;8;0;5;Update;Memory;81133568
Reference;new_samples;8;0;6;Update;Time;379300
Reference;new_samples;8;0;6;Update;Memory;81657856
Reference;new_samples;8;0;7;Update;Time;299200
Reference;new_samples;8;0;7;Update;Memory;82182144
Reference;new_samples;8;0;8;Update;Time;305200
Reference;new_samples;8;0;8;Update;Memory;82706432
Reference;new_samples;16;0;0;Initialization;Time;369020500
Reference;new_samples;16;0;0;Initialization;Memory;75890688
Reference;new_samples;16;0;0;Load;Time;59740300
Reference;new_samples;16;0;0;Load;Memory;76546048
Reference;new_samples;16;0;0;Initial;Time;81756900
Reference;new_samples;16;0;0;Initial;Memory;78512128
Reference;new_samples;16;0;1;Update;Time;11029400
Reference;new_samples;16;0;1;Update;Memory;80084992
Reference;new_samples;16;0;2;Update;Time;1526600
Reference;new_samples;16;0;2;Update;Memory;80871424
Reference;new_samples;16;0;3;Update;Time;842900
Reference;new_samples;16;0;3;Update;Memory;81657856
Reference;new_samples;16;0;4;Update;Time;367000
Reference;new_samples;16;0;4;Update;Memory;82444288
Reference;new_samples;16;0;5;Update;Time;291100
Reference;new_samples;16;0;5;Update;Memory;83361792
Reference;new_samples;16;0;6;Update;Time;274300
Reference;new_samples;16;0;6;Update;Memory;84148224
Reference;new_samples;16;0;7;Update;Time;364100
Reference;new_samples;16;0;7;Update;Memory;85065728
Reference;new_samples;16;0;8;Update;Time;330900
Reference;new_samples;16;0;8;Update;Memory;85983232
Reference;new_samples;32;0;0;Initialization;Time;385953300
Reference;new_samples;32;0;0;Initialization;Memory;76152832
Reference;new_samples;32;0;0;Load;Time;53375800
Reference;new_samples;32;0;0;Load;Memory;76939264
Reference;new_samples;32;0;0;Initial;Time;75150500
Reference;new_samples;32;0;0;Initial;Memory;80478208
Reference;new_samples;32;0;1;Update;Time;10361800
Reference;new_samples;32;0;1;Update;Memory;82706432
Reference;new_samples;32;0;2;Update;Time;1241900
Reference;new_samples;32;0;2;Update;Memory;84148224
Reference;new_samples;32;0;3;Update;Time;991700
Reference;new_samples;32;0;3;Update;Memory;85590016
Reference;new_samples;32;0;4;Update;Time;818300
Reference;new_samples;32;0;4;Update;Memory;87031808
Reference;new_samples;32;0;5;Update;Time;572300
Reference;new_samples;32;0;5;Update;Memory;88473600
Reference;new_samples;32;0;6;Update;Time;383800
Reference;new_samples;32;0;6;Update;Memory;90046464
Reference;new_samples;32;0;7;Update;Time;376800
Reference;new_samples;32;0;7;Update;Memory;91750400
Reference;new_samples;32;0;8;Update;Time;554900
Reference;new_samples;32;0;8;Update;Memory;93323264
NMF;scale_samples;1;0;0;Initialization;Time;382998100
NMF;scale_samples;1;0;0;Initialization;Memory;76283904
NMF;scale_samples;1;0;0;Load;Time;218161900
NMF;scale_samples;1;0;0;Load;Memory;80347136
NMF;scale_samples;1;0;0;Initial;Time;421066700
NMF;scale_samples;1;0;0;Initial;Memory;88211456
NMF;scale_samples;1;0;1;Update;Time;7937100
NMF;scale_samples;1;0;1;Update;Memory;88866816
NMF;scale_samples;1;0;2;Update;Time;133300
NMF;scale_samples;1;0;2;Update;Memory;88866816
NMF;scale_samples;1;0;3;Update;Time;41400
